Static	Dynamic	Guided
0.000157091	0.0005091319999999999	0.00019464900000000003
0.00015008	0.000305279	0.000205045
0.000144118	0.000153532	0.00019208099999999998
0.000161995	0.000128054	0.000189391
0.000179451	0.000140185	0.00018794
0.000147429	0.00013225700000000002	0.000214306
0.00019706	0.000164334	0.000215685
0.00021155099999999998	0.00019041200000000002	0.00018454700000000002
0.00025284099999999996	0.00022668099999999998	0.00022459599999999998
0.000276119	0.000263797	0.000259602
0.000413577	0.00053468	0.000369833
0.0008239780000000001	0.0007468339999999999	0.000689665
0.000784098	0.000863163	0.000972051
0.0009137689999999999	0.0008597260000000001	0.00117317
0.0008554330000000001	0.000834415	0.000850208
0.0007707419999999999	0.0008328439999999999	0.0008833789999999999
