Static	Dynamic	Guided
0.00018559	0.0007116669999999999	0.000199446
0.000186947	0.000305327	0.000186032
0.000150161	0.000165553	0.00018612700000000002
0.00017218	0.000133108	0.00018391799999999998
0.000172225	0.000124338	0.00018256900000000002
0.000183682	0.000121765	0.00018009400000000003
0.00017319599999999997	0.000150731	0.000196287
0.000190752	0.000156835	0.000177678
0.00018639900000000002	0.00018637900000000003	0.000185368
0.000228507	0.000241944	0.000243472
0.000353876	0.00033652599999999997	0.000338839
0.000665097	0.00065355	0.00067458
0.00085548	0.000817804	0.000786748
0.000758297	0.000777355	0.000810498
0.000761738	0.000818168	0.000800053
0.000793966	0.000812105	0.000805246
