Static	Dynamic	Guided
0.000794281	0.000860253	0.000819437
0.000701164	0.000725071	0.000736806
0.000692883	0.000725309	0.000702722
0.000675395	0.00071261	0.000709082
0.000720896	0.000733429	0.000727769
0.000728616	0.000738439	0.000742761
0.000743061	0.000750588	0.00074489
0.000737171	0.00076242	0.000744362
0.000756111	0.000768162	0.000764278
0.000733865	0.000767166	0.000780889
0.000740582	0.000778522	0.000765425
0.000764672	0.000772118	0.000760681
0.000734662	0.00077553	0.000778288
0.000753122	0.000769988	0.000764696
0.000761606	0.000770867	0.000771845
0.000754945	0.000765582	0.000762541
0.000744974	0.000812072	0.000769424
0.000746661	0.000774033	0.000766662
0.000765009	0.000806672	0.000776695
0.000753528	0.000778513	0.00077212
0.000752998	0.000814763	0.000816871
0.000737533	0.00077534	0.000770524
0.000809762	0.000830385	0.000817802
0.000758928	0.000782757	0.00077628
