Static	Dynamic	Guided
0.000801124	0.000835454	0.000804061
0.000510684	0.000622032	0.000450503
0.000384439	0.000446299	0.000344318
0.000358786	0.000349928	0.000271941
0.000289195	0.000284786	0.000250781
0.000282994	0.000243739	0.000226687
0.000260371	0.000217186	0.000218143
0.000224976	0.000196607	0.000205109
0.00021611	0.000183353	0.000199717
0.000207917	0.00016731	0.000190709
0.00020018	0.000156705	0.000190534
0.000186186	0.000145174	0.000180424
0.000176238	0.000141032	0.000180397
0.000180015	0.000136844	0.000175394
0.000169449	0.000133439	0.000174459
0.000170618	0.000129546	0.0001695
0.000157645	0.000128643	0.000172818
0.000163833	0.000123953	0.000168071
0.000162738	0.000121015	0.000166471
0.000165907	0.000122567	0.000168237
0.000155519	0.00012586	0.000165499
0.000160615	0.000119122	0.000163137
0.000165387	0.000128146	0.000171829
0.000155795	0.000123812	0.000167496
