Static	Dynamic	Guided
0.000748939	0.000841524	0.000721951
0.000472848	0.00119297	0.000432973
0.00037262	0.000912439	0.000352649
0.00031093	0.000801627	0.00030504
0.000299442	0.000665215	0.00027254
0.000246883	0.00059178	0.000243152
0.000262491	0.000539659	0.000234057
0.000235281	0.000518641	0.000223448
0.000260275	0.000480781	0.000213719
0.000224661	0.000458225	0.000200323
0.000219798	0.000429814	0.000194294
0.000212124	0.000419039	0.000187815
0.000194263	0.00048438	0.000181012
0.0001888	0.000421484	0.000179298
0.000197828	0.000407592	0.000180401
0.000180744	0.000412211	0.000172381
0.000185272	0.000407562	0.000178072
0.000166418	0.000375015	0.000172385
0.000175774	0.000528295	0.000171195
0.000160911	0.000377056	0.000171279
0.000167324	0.000489624	0.000170636
0.000159034	0.000425481	0.000167919
0.000161607	0.000398732	0.000172064
0.000154351	0.000405949	0.000170217
